first_name,last_name,number
Salvatore,Lin,6.0
Scott,Qian,
Anthony,Zhuang,8.0
Anthony,Ch'iu,
James,Chung,3.0
Eric,Ma,8.0
Winifred,Hsin,9.0
Pamela,Ren,3.0
Elizabeth,Luo,8.0
Kimberly,Tuan,6.0
Kris,Liang,
Kathleen,Su,8.0
Samantha,Tang,5.0
Helen,Sung,
Lynda,Xu[],7.0
Lawrence,Ou,8.0
Marjorie,Xiang,6.0
Randy,Chiang,6.0
Gary,Luo,6.0
Clarence,Hsiung,6.0
Dean,Xu,6.0
Leonard,Cheng,8.0
Kimberly,I,6.0
Andria,Ren,6.0
Dale,Ch'iao,2.0
Bryan,Gong,8.0
Archie,Hsiung,6.0
Monique,Hao,6.0
Amy,Shi,5.0
Marie,Tan,7.0
Joann,Li,7.0
Wanda,Hsu,3.0
Burton,Ch'in,
Myra,P'eng,9.0
Mary,Yeh,5.0
Hugo,Chang,
Kathy,Fang,6.0
Geraldine,Liang,
Floyd,Wang,
Lois,I,2.0
Daniel,P'eng,8.0
Gail,I,6.0
Angel,Ch'ien,5.0
Jesus,Ke,6.0
Maurice,Hou,6.0
Carmen,Han,5.0
Edward,Yu,6.0
Karen,Ts'ui,6.0
Kathryn,ko,
Lillian,Pai,6.0
Armando,Sung,2.0
Laurie,Jia,
Stacy,Meng,5.0
Ana,Mo,9.0
Thomas,Lu,5.0
Amy,Ts'ai,6.0
Carly,Chou,8.0
Rose,Sung,6.0
Robert,Ou,6.0
Joseph,T'an,
Peggy,Cui,8.0
Charles,Jiang,6.0
Raymond,Sun,6.0
Pauline,Ch'eng,7.0
Lionel,Jin,6.0
Matthew,Deng,5.0
Donald,Li,6.0
Harry,Ye,6.0
Carrie,Jiang,1.0
Vickie,Meng,10.0
Brooke,Sun,8.0
Robert,Ye,5.0
Joseph,Chang,6.0
Michelle,Tung,6.0
Paul,ko,
Erika,Lei,7.0
Anthony,Hsia,8.0
Betsy,Duan,6.0
Rebecca,Hung,2.0
Martin,Hsieh,
Jennifer,Chao,7.0
Jessica,Yeh,6.0
John,Hong,6.0
George,Bai,4.0
Amelia,Zhou,6.0
John,Kung,6.0
Mary,Yen,6.0
Gloria,Hsia,
Kayla,Pinyin,7.0
Anthony,Mo,6.0
Paul,Gu,
Nicole,Qin,5.0
David,Yen,6.0
Joseph,He,7.0
Tara,Hsin,6.0
Christina,Hsin,5.0
Williams,Cui,6.0
Walter,Tan / Qin,8.0
John,T'ien,8.0
Hattie,Chen,8.0
